Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Deceleration (g),135 - 125 (s),125 - 115 (s),115 - 105 (s),105 - 95 (s),95 - 85 (s),85 - 75 (s),75 - 65 (s),65 - 55 (s),85 - 75 (s),75 - 65 (s),65 - 55 (s),55 - 45 (s),45 - 35 (s),35 - 25 (s),25 - 15 (s),Notes
On,+,1,84.07,2030.56,13:46.3,0.05,6.06,6.68,7.7,8.99,10.57,12.23,14.58,17.26,12.23,14.58,17.26,,,,,
On,-,2,84.85,2061.81,16:33.9,0.05,6.11,7.12,8.03,9.34,10.99,12.02,14.12,17.12,12.02,14.12,17.12,,,,,
On,+,3,150.03,1840.96,19:12.9,0.03,,,,,,12.89,15.2,18.46,12.89,15.2,18.46,20.53,23.94,27.82,31.2,
On,-,4,152.29,1860.78,24:02.6,0.03,,,,,,12.78,15.16,17.87,12.78,15.16,17.87,21.65,24.65,28.8,31.37,
On,+,5,82.61,2002.74,28:43.1,0.05,5.97,6.76,7.81,9.06,10.38,11.82,14.02,16.79,11.82,14.02,16.79,,,,,
On,-,6,86.3,2087.15,31:32.5,0.05,6.19,7,8.07,9.23,10.79,12.47,14.7,17.85,12.47,14.7,17.85,,,,,
On,+,7,150.01,1833.46,34:13.6,0.03,,,,,,12.51,15.12,17.95,12.51,15.12,17.95,20.72,24.6,27.78,31.33,
On,-,8,151.47,1856.28,38:54.5,0.03,,,,,,12.89,15.47,17.9,12.89,15.47,17.9,20.94,24.8,28.58,30.88,
On,+,9,82.52,1997.48,43:34.0,0.05,6.03,6.68,7.56,8.84,10.36,12.24,14.01,16.8,12.24,14.01,16.8,,,,,
On,-,10,87.31,2113.12,46:22.7,0.05,6.25,6.98,7.99,9.39,11.16,13.29,14.6,17.66,13.29,14.6,17.66,,,,,
On,+,11,148.84,1806.9,49:04.6,0.03,,,,,,12.59,15.03,16.91,12.59,15.03,16.91,20.23,23.6,28.64,31.84,
On,-,12,149.05,1825.12,53:46.1,0.03,,,,,,12.61,14.88,17.41,12.61,14.88,17.41,21.16,24.61,28.12,30.26,
On,+,13,83.23,2018.3,58:25.7,0.06,6.1,6.96,7.85,8.83,10.42,11.98,14.06,17.04,11.98,14.06,17.04,,,,,
On,-,14,85.28,2067.77,01:17.9,0.05,6.2,7.03,8.09,9.37,10.55,12.1,14.42,17.52,12.1,14.42,17.52,,,,,
On,+,15,148.74,1818.94,04:00.4,0.03,,,,,,12.55,14.88,17.72,12.55,14.88,17.72,21.12,23.73,27.93,30.81,
On,-,16,147.38,1807.96,08:40.7,0.03,,,,,,12.76,15.17,17.41,12.76,15.17,17.41,20.39,23.26,27.75,30.63,
On,+,17,84.38,2044.41,13:22.4,0.06,6.06,6.78,7.84,9.21,10.68,12.42,14.77,16.63,12.42,14.77,16.63,,,,,
On,-,18,84.28,2032.38,16:08.3,0.05,5.88,6.83,7.66,8.98,10.52,12.37,14.43,17.61,12.37,14.43,17.61,,,,,
On,+,19,152.93,1860.15,18:50.8,0.03,,,,,,12.44,15.05,18.18,12.44,15.05,18.18,21.22,24.98,29.33,31.73,
On,-,20,142.69,1732.86,23:31.6,0.03,,,,,,11.87,13.91,16.53,11.87,13.91,16.53,19.8,23.19,27.25,30.13,
On,+,21,87.99,2118.2,28:06.2,0.06,6.1,6.97,7.99,9.32,10.91,12.93,15.46,18.31,12.93,15.46,18.31,,,,,
On,-,22,83.25,2008.58,30:49.9,0.05,5.88,6.67,7.62,8.9,10.37,12.2,14.31,17.29,12.2,14.31,17.29,,,,,
On,+,23,151.49,1845.66,33:34.1,0.03,,,,,,12.61,15.1,17.98,12.61,15.1,17.98,20.79,24.45,28.85,31.73,
On,-,24,147.99,1807.4,38:13.7,0.03,,,,,,12.45,14.61,17.42,12.45,14.61,17.42,20.83,24.28,27.89,30.52,
